address,price,bedrooms,bathrooms,sqft,listing_date,agent_contact,area
1000 Main St,250252,3,2,1002,2026-01-01,agent0@example.com,Downtown
1001 Main St,321273,5,4,1256,2026-02-02,agent1@example.com,Riverfront
1002 Cedar St,484514,5,1,1852,2026-03-03,agent2@example.com,Midtown
1003 Main St,513047,4,3,1802,2026-04-04,agent3@example.com,Suburb
1004 Pine St,566305,3,3,2631,2026-05-05,agent4@example.com,Midtown
1005 Pine St,322950,4,1,1279,2026-06-06,agent5@example.com,Downtown
1006 Elm St,486007,1,4,1983,2026-07-07,agent6@example.com,Riverfront
1007 Main St,774980,3,3,3161,2026-08-08,agent7@example.com,Downtown
1008 Main St,499363,3,1,1833,2026-09-09,agent8@example.com,Downtown
1009 Pine St,465359,4,3,2038,2026-01-10,agent9@example.com,Suburb
1010 Oak St,471903,1,2,1993,2026-02-11,agent10@example.com,Midtown
1011 Cedar St,795839,4,3,2793,2026-03-12,agent11@example.com,Midtown
1012 Pine St,575518,1,2,2228,2026-04-13,agent12@example.com,Midtown
1013 Cedar St,533089,1,2,1996,2026-05-14,agent13@example.com,Suburb
1014 Elm St,523871,4,4,1770,2026-06-15,agent14@example.com,Uptown
1015 Cedar St,515364,2,2,1984,2026-07-16,agent15@example.com,Midtown
1016 Oak St,646579,5,4,2654,2026-08-17,agent16@example.com,Uptown
1017 Oak St,747002,1,1,2921,2026-09-18,agent17@example.com,Riverfront
1018 Cedar St,622144,5,1,2629,2026-01-19,agent18@example.com,Midtown
1019 Main St,762974,3,1,3067,2026-02-20,agent19@example.com,Suburb
1020 Oak St,449332,3,1,1992,2026-03-21,agent20@example.com,Riverfront
1021 Main St,253421,3,2,913,2026-04-22,agent21@example.com,Suburb
1022 Oak St,648644,5,2,2979,2026-05-23,agent22@example.com,Uptown
1023 Main St,709039,1,3,3072,2026-06-24,agent23@example.com,Riverfront
1024 Cedar St,462223,2,1,2159,2026-07-25,agent24@example.com,Uptown
1025 Cedar St,378798,4,1,1250,2026-08-26,agent25@example.com,Downtown
1026 Cedar St,350716,4,2,1425,2026-09-27,agent26@example.com,Midtown
1027 Elm St,494842,5,2,1767,2026-01-01,agent27@example.com,Suburb
1028 Oak St,602998,5,4,2694,2026-02-02,agent28@example.com,Uptown
1029 Main St,546639,1,2,2284,2026-03-03,agent29@example.com,Downtown
1030 Pine St,320026,2,1,1141,2026-04-04,agent30@example.com,Downtown
1031 Oak St,749722,2,3,3005,2026-05-05,agent31@example.com,Downtown
1032 Elm St,379392,5,4,1441,2026-06-06,agent32@example.com,Riverfront
1033 Pine St,410734,1,1,1679,2026-07-07,agent33@example.com,Suburb
1034 Main St,660084,4,1,2583,2026-08-08,agent34@example.com,Suburb
1035 Oak St,553525,3,1,2549,2026-09-09,agent35@example.com,Downtown
1036 Elm St,588836,2,4,2737,2026-01-10,agent36@example.com,Riverfront
1037 Cedar St,278328,4,1,1208,2026-02-11,agent37@example.com,Midtown
1038 Elm St,312441,2,2,1282,2026-03-12,agent38@example.com,Downtown
1039 Elm St,562627,1,2,2542,2026-04-13,agent39@example.com,Midtown
1040 Cedar St,719314,3,4,2763,2026-05-14,agent40@example.com,Uptown
1041 Main St,350836,2,3,1534,2026-06-15,agent41@example.com,Suburb
1042 Cedar St,611868,1,3,3120,2026-07-16,agent42@example.com,Riverfront
1043 Cedar St,622084,5,2,2959,2026-08-17,agent43@example.com,Suburb
1044 Oak St,408702,1,1,1661,2026-09-18,agent44@example.com,Downtown
1045 Main St,390802,5,2,1391,2026-01-19,agent45@example.com,Suburb
1046 Oak St,386648,4,3,1235,2026-02-20,agent46@example.com,Riverfront
1047 Pine St,425512,3,4,1877,2026-03-21,agent47@example.com,Uptown
1048 Cedar St,495574,1,1,2195,2026-04-22,agent48@example.com,Suburb
1049 Oak St,340564,5,2,1200,2026-05-23,agent49@example.com,Downtown
1050 Elm St,287505,2,3,1181,2026-06-24,agent50@example.com,Uptown
1051 Cedar St,567304,5,1,2139,2026-07-25,agent51@example.com,Riverfront
1052 Main St,298546,2,3,1324,2026-08-26,agent52@example.com,Uptown
1053 Pine St,410801,3,3,1536,2026-09-27,agent53@example.com,Riverfront
1054 Main St,488377,5,4,1981,2026-01-01,agent54@example.com,Midtown
1055 Oak St,518867,3,1,2634,2026-02-02,agent55@example.com,Downtown
1056 Main St,431026,4,4,1561,2026-03-03,agent56@example.com,Uptown
1057 Cedar St,440619,5,1,1510,2026-04-04,agent57@example.com,Downtown
1058 Pine St,340119,4,2,1506,2026-05-05,agent58@example.com,Riverfront
1059 Pine St,591883,2,2,2365,2026-06-06,agent59@example.com,Downtown
